ROUGE-Type,Task Name,System Name,Avg_F-Score
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.32932
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.36581
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.37763
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.37423
,,,
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.40884
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.43044
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.4976
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.49818
,,,
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.11219
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.15257
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.20171
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.19939
