ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.56338,0.09950,0.16913,1
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.33803,0.22430,0.26966,1
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.28169,0.23529,0.25641,1

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.74576,0.11111,0.19341,1
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.35593,0.27097,0.30769,1
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.29661,0.29915,0.29787,1

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.22321,0.03434,0.05952,1
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.06250,0.05109,0.05622,1
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.05357,0.05825,0.05581,1

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.36226,0.05783,0.09974,1
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.11698,0.10299,0.10954,1
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.09623,0.11283,0.10387,1

