ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.36011,0.26418,0.30477,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.51908,0.14258,0.22371,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.36546,0.26667,0.30834,4

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46979,0.36455,0.41053,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.69131,0.16579,0.26744,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.50563,0.35306,0.41579,4

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.18320,0.15625,0.16866,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.28404,0.07273,0.11581,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.20155,0.15469,0.17504,4

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.21846,0.20797,0.21309,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.34676,0.09567,0.14997,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.24617,0.21125,0.22738,4

